,title,published,views,likes,comments,creator
226,3 Reasons You Should NOT Become a Data Scientist,2019-12-16,100840,2938,204,Ken Jee
227,5 Sports Analytics Books to Get You Started,2019-12-13,10631,405,59,Ken Jee
228,Math Needed for Mastering Data Science,2019-12-09,56022,2851,222,Ken Jee
229,The 5 Stages of Data Science Adoption,2019-12-06,1315,68,17,Ken Jee
230,How YOU Can Land a Sports Analytics Job,2019-12-02,68295,3036,231,Ken Jee
231,Data Science Fundamentals: Linear Regression,2019-11-29,6302,172,42,Ken Jee
232,Golf: Would You Rather Be the LONGEST or STRAIGHTEST Driver on the PGA Tour?,2019-11-25,1050,53,12,Ken Jee
233,Sports Analytics 101: The Pythagorean Theorem of Sports,2019-11-22,5941,268,26,Ken Jee
234,9 Ways You Can Make Extra Income as a Data Scientist,2019-11-18,46001,1752,80,Ken Jee
235,Applying Data Science To My YouTube Data: My Surprising Findings,2019-11-11,5916,137,31,Ken Jee
236,Why Selling Is An Important Data Science Skill,2019-11-04,1616,79,13,Ken Jee
237,By The Numbers: Where Should The NBA Put a 4 Point Line?,2019-10-21,2803,73,18,Ken Jee
238,Why is Balance Important in Data Science?,2019-10-16,701,32,13,Ken Jee
239,How to Stay Productive & Motivated When Learning Data Science,2019-09-29,11803,581,54,Ken Jee
240,How Far Should the NBA 3-Point Line Actually Be?,2019-09-21,3783,115,33,Ken Jee
241,6 Habits of Successful Data Scientists,2019-09-13,2206,95,17,Ken Jee
242,How To Build A Word Cloud From Scraped Data (Python),2019-09-04,4489,101,9,Ken Jee
243,Thank You For The Support | What's Next | Ken Jee | Data Science,2019-08-26,518,24,29,Ken Jee
244,Is Data Science Right For You?,2019-08-18,50437,1172,109,Ken Jee
245,Data Science Fundamentals: Data Cleaning in Python,2019-08-11,14728,391,55,Ken Jee
246,How To Get Data Science Experience (Without a Job),2019-08-08,29225,1383,75,Ken Jee
247,Take Your Data Science Projects From Good to Great,2019-08-05,1596,107,11,Ken Jee
248,The Projects You Should Do To Get A Data Science Job,2019-07-30,149540,5691,253,Ken Jee
249,What Does a Data Scientist Actually Do?,2019-07-19,45558,1260,81,Ken Jee
250,Data Science Fundamentals: Data Manipulation in Python (Pandas),2019-07-13,12830,352,42,Ken Jee
251,Data Science Fundamentals: Data Exploration in Python (Pandas),2019-07-05,17715,524,61,Ken Jee
252,Data Science: Pros and Cons,2019-06-30,5175,214,18,Ken Jee
253,How I Got My First Data Science Internship (And How You Can Land One),2019-06-21,24377,1182,89,Ken Jee
254,My Top 5 Data Science Internship Tips,2019-06-15,11811,492,23,Ken Jee
255,Golf STATS: Strokes Gained Explained,2019-06-07,7283,148,28,Ken Jee
256,Most Data Science Hopefuls Overlook This Important Skill,2019-05-25,615,44,5,Ken Jee
257,What I Learned From My Three Degrees,2019-05-17,1251,60,12,Ken Jee
258,I Wish I Had Known THIS Before Starting in Data Science,2019-05-14,25633,1071,66,Ken Jee
259,NASA Physicist Turned Data Scientist (Tim Bowling) - KNN EP. 02,2019-05-05,1238,40,2,Ken Jee
260,Should You Learn R for Data Science?,2019-04-25,20656,552,69,Ken Jee
261,Scrape Twitter Data in Python with Twitterscraper Module,2019-04-18,46328,855,334,Ken Jee
262,Work From Home Data Scientist: Day in the Life,2019-04-12,28055,761,101,Ken Jee
263,Where to Look for Data Science Jobs,2019-03-29,3001,120,9,Ken Jee
264,Data Science: Startup vs. Large Corporation,2019-03-21,2106,74,4,Ken Jee
265,"Data Science, Machine Learning, and AI: What's the Difference?",2019-03-16,6129,174,26,Ken Jee
266,Was Captain Marvel Bad? A Sentiment Analysis of Twitter Data,2019-03-09,4162,180,15,Ken Jee
267,Why You DON'T Want to be a WFH Data Scientist,2019-03-03,798,33,12,Ken Jee
268,Welcome To My Channel | Ken Jee | Data Science,2019-03-03,1429,35,8,Ken Jee
269,Where YOU Should Start With Data Science Projects,2019-02-19,16454,341,17,Ken Jee
270,Watch This Before Applying to Data Science Jobs,2019-02-04,1485,66,13,Ken Jee
271,My Top 5 Data Science Resources for 2019,2019-01-05,3684,121,17,Ken Jee
272,IT'S NOT TOO LATE TO LEARN CODE!,2018-12-18,829,37,6,Ken Jee
273,The Best Way to Predict NBA Minutes Played,2018-12-11,4210,107,14,Ken Jee
274,Demystifying Data Science Roles,2018-11-30,1129,54,5,Ken Jee
275,How to Simulate NBA Games in Python,2018-11-19,17584,391,54,Ken Jee
276,Should You Get A Masters in Data Science?,2018-11-14,20495,306,135,Ken Jee
277,How I Became A Data Scientist From a Business Background,2018-11-12,6410,198,23,Ken Jee
278,Predicting Season Long NBA Wins Using Multiple Linear Regression,2018-07-10,8619,193,17,Ken Jee
279,Predicting Crypto-Currency Price Using RNN lSTM & GRU,2017-11-18,18842,292,41,Ken Jee
0,Regular Expression Character Classes in Python,2023-08-08,617,44,31,Alex The Analyst
1,#Recruiters #dataanalysis #data,2023-08-03,5170,327,20,Alex The Analyst
2,Regular Expression Metacharacters in Python,2023-08-01,3009,83,28,Alex The Analyst
3,How much do Data Analysts make? #dataanalyst #dataanalystsalary,2023-07-31,8366,346,29,Alex The Analyst
4,Do you need to learn SQL if you can do everything in Python?  #Python #dataanalysis #SQL,2023-07-28,13492,899,28,Alex The Analyst
5,Regular Expression Methods in Python,2023-07-25,3614,146,7,Alex The Analyst
6,What are Hiring Managers Looking For? | Nail the Interview Process!,2023-07-18,11941,586,50,Alex The Analyst
7,Scraping Data from a Real Website | Web Scraping in Python,2023-07-11,25548,732,61,Alex The Analyst
8,SQL Beginner to Advanced in One Hour | CareerFoundry Webinar,2023-07-06,63722,2400,52,Alex The Analyst
9,Find and Find_All | Web Scraping in Python,2023-07-04,6427,273,10,Alex The Analyst
10,500k Livestream!!,2023-06-28,6091,383,25,Alex The Analyst
11,BeautifulSoup + Requests | Web Scraping in Python,2023-06-27,8951,335,17,Alex The Analyst
12,Inspecting Web Pages with HTML | Web Scraping in Python,2023-06-20,10180,403,26,Alex The Analyst
13,Best Places to Find Datasets for Your Projects,2023-06-13,24480,1177,47,Alex The Analyst
14,Exploratory Data Analysis in Pandas | Python Pandas Tutorials,2023-06-06,22442,694,54,Alex The Analyst
15,Data Analyst Q/A Livestream | May Livestream | Ask Me Anything!,2023-05-30,9686,358,23,Alex The Analyst
16,What is Microsoft Fabric? | New Data Analytics Platform!,2023-05-29,112526,3092,112,Alex The Analyst
17,Data Cleaning in Pandas | Python Pandas Tutorials,2023-05-23,34604,1163,82,Alex The Analyst
18,The Ultimate Data Analytics Career Plan for 2023 | CareerFoundry Webinar,2023-05-16,36517,1328,43,Alex The Analyst
19,State of AI in Analytics | Will AI be the End of Data Analysts?,2023-05-15,39897,1234,368,Alex The Analyst
20,Google Bard Got An Upgrade! + Google's New AI Announcements!,2023-05-12,32409,789,84,Alex The Analyst
21,Creating Visualizations using Pandas Library | Python Pandas Tutorials,2023-05-09,16251,369,15,Alex The Analyst
22,Merging DataFrames in Pandas | Python Pandas Tutorials,2023-05-02,14542,400,18,Alex The Analyst
23,Data Analyst Q/A Livestream | April Livestream | Ask Me Anything!,2023-04-27,9581,333,27,Alex The Analyst
24,How to Integrate ChatGPT in Jupyter Notebooks for Free!,2023-04-25,30624,857,44,Alex The Analyst
25,7 Ways to Use ChatGPT for Analytics | Webinar,2023-04-18,35202,1018,33,Alex The Analyst
26,Google Business Intelligence Professional Certification Review,2023-04-18,27314,854,59,Alex The Analyst
27,Google Advanced Data Analytics Professional Certificate First Look | Is it Worth it?,2023-04-10,114920,3416,350,Alex The Analyst
28,Group By and Aggregate Functions in Pandas | Python Pandas Tutorials,2023-04-04,12246,389,21,Alex The Analyst
29,Top 5 Biggest Mistakes Beginner Data Analysts Make,2023-03-28,34637,1629,84,Alex The Analyst
30,Indexes in Pandas | Python Pandas Tutorials,2023-03-21,11744,333,21,Alex The Analyst
31,Create the Perfect Data Analyst Resume | Free Templates!,2023-03-14,71199,2519,167,Alex The Analyst
32,Filtering Columns and Rows in Pandas | Python Pandas Tutorials,2023-03-07,17659,485,34,Alex The Analyst
33,Data Analyst Q/A Livestream | March Livestream | Ask Me Anything!,2023-03-02,11025,398,33,Alex The Analyst
34,Reading in Files in Pandas | Python Pandas Tutorials,2023-02-28,26349,631,37,Alex The Analyst
35,Building an Automated File Sorter in File Explorer using Python | Python Projects for Beginners,2023-02-21,20266,538,42,Alex The Analyst
36,ChatGPT for Data Analysts | Best Use Cases + Analyzing a Dataset,2023-02-14,400807,7828,223,Alex The Analyst
37,FREE Data Analyst Bootcamp!!,2023-02-07,446406,19316,1061,Alex The Analyst
38,How to Become a Data Analyst in 2023 (Completely FREE!),2023-01-31,576819,22983,754,Alex The Analyst
39,Live Portfolio Review with Alex the Analyst!  | Live Webinar,2023-01-25,15799,596,23,Alex The Analyst
40,DIY Data Analyst Curriculum using Udemy (Under $75),2023-01-24,28043,1104,105,Alex The Analyst
41,Reviewing Maven Analytics Free Portfolio Website,2023-01-17,18680,611,42,Alex The Analyst
42,5 Study Hacks for Beginner Data Analysts! | Live Webinar,2023-01-16,41967,1289,35,Alex The Analyst
43,DIY Data Analyst Curriculum using Coursera in 2023,2023-01-10,51082,2603,222,Alex The Analyst
44,Building a BMI Calculator with Python | Python Projects for Beginners,2023-01-03,26514,622,45,Alex The Analyst
45,"Reading, Writing, and Appending Files in Python | Python for Beginners",2022-12-27,4994,181,10,Alex The Analyst
46,Why I Quit my 125k Analytics Job,2022-12-20,145487,8227,859,Alex The Analyst
47,Data Analyst Q/A Livestream + Special Guest! | December Livestream,2022-12-17,4989,167,16,Alex The Analyst
48,Converting Data Types in Python | Python for Beginners,2022-12-13,13735,440,22,Alex The Analyst
49,Functions in Python | Python for Beginners,2022-12-06,16407,541,23,Alex The Analyst
50,While Loops in Python | Python for Beginners,2022-11-29,13792,501,14,Alex The Analyst
51,For Loops in Python | Python for Beginners,2022-11-22,16423,504,19,Alex The Analyst
52,Data Analyst Q/A Livestream | November Livestream,2022-11-16,6198,202,18,Alex The Analyst
53,If Else Statements in Python | Python for Beginners,2022-11-15,14568,499,21,Alex The Analyst
54,"Comparison, Logical, and Membership Operators in Python | Python for Beginners",2022-11-08,15628,525,13,Alex The Analyst
55,Data Types in Python | Python for Beginners,2022-11-01,29483,857,44,Alex The Analyst
56,Data Analyst Q/A Livestream | October Livestream,2022-10-31,5637,184,11,Alex The Analyst
57,Variables in Python | Python for Beginners,2022-10-25,31942,930,38,Alex The Analyst
58,300k Livestream! | Giveaways for People in Chat | Bring Your Wine,2022-10-19,5223,247,23,Alex The Analyst
59,Installing Jupyter Notebooks/Anaconda | Python for Beginners,2022-10-18,90048,1867,78,Alex The Analyst
60,Interviewing Tina Huang | Fellow YouTuber and Data Enthusiast,2022-10-13,8819,324,20,Alex The Analyst
61,Interviewing Luke Barousse | Arch-Nemesis and Fellow YouTuber,2022-10-11,6877,323,31,Alex The Analyst
62,When Best Friends Work Together (ft. Luke Barousse),2022-10-04,14589,663,82,Alex The Analyst
63,Data Analyst Live Stream | Riding out Hurricane Ian,2022-10-01,6596,213,15,Alex The Analyst
64,Full Power BI Guided Project | Microsoft Power BI for Beginners,2022-09-27,171970,3547,226,Alex The Analyst
65,Popular Visualizations in Power BI | Microsoft Power BI for Beginners,2022-09-20,32355,996,36,Alex The Analyst
66,"Guided Portfolio Projects on Coursera | Python, SQL, Excel, Power BI, and Tableau",2022-09-13,45588,1863,94,Alex The Analyst
67,How to use Bins and Lists in Power BI | Microsoft Power BI for Beginners,2022-09-06,29702,858,25,Alex The Analyst
68,How to use Conditional Formatting in Power BI | Microsoft Power BI for Beginners,2022-08-30,43996,938,33,Alex The Analyst
69,Top 8 Mistakes Beginner Data Analyst's Make | CareerFoundry Webinar,2022-08-24,72999,2003,76,Alex The Analyst
70,Interviewing Ken Jee | The Face of Data Science on YouTube,2022-08-23,6790,246,15,Alex The Analyst
71,CareerFoundry Data Analytics Bootcamp Review | Bootcamp + Intro + Free Course Review,2022-08-16,20162,524,105,Alex The Analyst
72,How to use Drill Down in Power BI | Microsoft Power BI for Beginners,2022-08-09,54598,1201,53,Alex The Analyst
73,"Best Courses for Alternative Analyst Jobs | Marketing Analyst, Business Analyst, Financial Analyst",2022-08-02,17122,780,72,Alex The Analyst
74,250k Subscriber Live Stream!!,2022-07-26,4153,158,11,Alex The Analyst
75,How to use DAX in Power BI | Microsoft Power BI for Beginners,2022-07-26,56256,1463,78,Alex The Analyst
76,Tech Layoffs and Hiring Freezes | The Great Resignation | Alex The Analyst Show | Episode 23,2022-07-19,21726,626,126,Alex The Analyst
77,How to Create and Manage Relationships in Power BI | Microsoft Power BI for Beginners,2022-07-12,66745,1507,47,Alex The Analyst
78,Machine Learning Specialization on Coursera | Review,2022-07-05,18742,640,57,Alex The Analyst
79,Meta Marketing Analytics Professional Certificate on Coursera | Review,2022-06-28,27000,759,91,Alex The Analyst
80,Google's Secret Hiring Platform | Found in the Google Data Analytics Certification,2022-06-21,44246,1638,133,Alex The Analyst
81,How to use Power Query in Power BI | Microsoft Power BI for Beginners,2022-06-14,96246,1987,55,Alex The Analyst
82,Automating Crypto Website API Pull Using Python | Data Analyst Project,2022-06-07,33273,679,63,Alex The Analyst
83,How to use a Public API | Using a Public API with Python,2022-05-31,18326,750,57,Alex The Analyst
84,How to Install Power BI | Building First Visualization | Microsoft Power BI for Beginners,2022-05-24,140927,3059,168,Alex The Analyst
85,MySQL vs Postgresql vs Microsoft SQL Server Management Tools | Which Option is Best?,2022-05-17,94946,2121,252,Alex The Analyst
86,Top 3 Tips to Stop Procrastinating to be Successful,2022-05-10,32392,1658,155,Alex The Analyst
87,SQL vs NoSQL | What's the Difference?,2022-05-03,46385,1481,65,Alex The Analyst
88,Database vs Data Warehouse vs Data Lake | What is the Difference?,2022-04-26,414763,12025,213,Alex The Analyst
89,How I Manage My Time Working 60+ Hours Per Week | Alex The Analyst Show | Episode 22,2022-04-20,11499,324,161,Alex The Analyst
90,200k Livestream! | Shaving | Puppies | Giveaway,2022-04-14,3163,134,11,Alex The Analyst
91,Things I HATE About Being a Data Analyst,2022-04-12,32078,1375,193,Alex The Analyst
92,Best Website to Practice Technical Interview Questions,2022-04-05,16706,631,54,Alex The Analyst
93,Pros and Cons of Working Remote | Alex The Analyst Show | Episode 21,2022-03-29,6833,274,161,Alex The Analyst
94,Full Project in Excel | Excel Tutorials for Beginners,2022-03-22,392138,9334,646,Alex The Analyst
95,Top 5 Non-Technical Skills for Data Analysts,2022-03-15,20551,788,74,Alex The Analyst
96,Cleaning Data in Excel | Excel Tutorials for Beginners,2022-03-01,264015,6180,207,Alex The Analyst
97,Tableau Data Analyst Certification Review,2022-02-22,50039,1341,121,Alex The Analyst
98,Job Title Alternatives for Data Analysts,2022-02-15,25633,1009,95,Alex The Analyst
99,Best Coursera Courses for Data Analysts in 2022,2022-02-08,97119,5118,204,Alex The Analyst
100,Understanding Your Data Analyst Salary Offer | What To Know Before Accepting,2022-02-01,20028,717,61,Alex The Analyst
101,Charts in Excel | Excel Tutorials for Beginners,2022-01-25,55533,1634,41,Alex The Analyst
102,How I became a Data Analytics Manager | Alex The Analyst Show | Episode 20,2022-01-18,22172,844,357,Alex The Analyst
103,Conditional Formatting in Excel | Excel Tutorials for Beginners,2022-01-11,75473,1916,82,Alex The Analyst
104,150k Subscriber Livestream!!,2022-01-10,3467,161,7,Alex The Analyst
105,How To Become A Data Analyst In 2022,2022-01-04,494255,22214,643,Alex The Analyst
106,XLOOKUP in Excel | Excel Tutorials for Beginners,2021-12-28,90256,2291,100,Alex The Analyst
107,Formulas in Excel | Excel Tutorials for Beginners,2021-12-21,147899,3833,239,Alex The Analyst
108,Pivot Tables in Excel | Excel Tutorials for Beginners,2021-12-14,310451,6773,219,Alex The Analyst
109,Full Beginner Project in Tableau | Tableau Tutorials for Beginners,2021-12-07,144484,3237,276,Alex The Analyst
110,How to use Joins in Tableau | Tableau Tutorials for Beginners,2021-11-23,65774,2056,49,Alex The Analyst
111,Top 5 Major Red Flags in Job Descriptions,2021-11-18,17277,936,72,Alex The Analyst
112,Truth About My Job (Song) - As a Data Analyst,2021-11-08,9957,861,104,Alex The Analyst
113,How to Grow Your Analytics Career | Alteryx Webinar Oct 2021 | Tips to Break Into Analytics,2021-10-26,10918,337,35,Alex The Analyst
114,Choosing a Domain to Make More Money,2021-10-19,17266,881,81,Alex The Analyst
115,How to Create Visualizations in Tableau | Tableau Tutorials for Beginners,2021-10-05,90630,2320,130,Alex The Analyst
116,How to use Calculated Fields and Bins in Tableau | Tableau Tutorials for Beginners,2021-09-28,111738,2804,66,Alex The Analyst
117,How to Install Tableau and Create First Visualization | Tableau Tutorials for Beginners,2021-09-21,381906,9740,283,Alex The Analyst
118,How NOT to Become a Data Analyst (Funny?),2021-09-07,17034,711,114,Alex The Analyst
119,100k Subscriber Play Button Unboxing,2021-08-31,2614,241,96,Alex The Analyst
120,Amazon Web Scraping Using Python | Data Analyst Portfolio Project,2021-08-24,170753,4352,473,Alex The Analyst
121,Interviewing with PwC for a Senior Data Analyst Position,2021-08-17,80614,2204,157,Alex The Analyst
122,100k Livestream | Announcing Giveaway Winners | Trimming Mustache | Answering Questions,2021-08-13,4721,191,26,Alex The Analyst
123,I Am No Longer a Data Analyst | Turning Down PwC | New Job,2021-08-11,142254,4441,505,Alex The Analyst
124,When To Start Applying To Your First Data Analyst Job,2021-07-21,57564,3358,220,Alex The Analyst
125,Why You Need to Stop Taking Courses (From an Ex-Course Addict),2021-07-13,129210,5626,365,Alex The Analyst
126,How to Create a Portfolio Website for FREE,2021-06-29,302488,8022,552,Alex The Analyst
127,Data Analyst Portfolio Project | Correlation in Python | Project 4/4,2021-06-22,121786,2373,391,Alex The Analyst
128,How To Get a Data Analyst Job (with No Experience),2021-06-08,428306,19019,587,Alex The Analyst
129,My Wife Answers Subscribers Questions About Me | Alex The Analyst Show | Episode 19,2021-06-03,6192,242,108,Alex The Analyst
130,Favorite Tableau and Power BI Courses on Udemy,2021-06-01,27558,812,86,Alex The Analyst
131,Data Analyst Portfolio Project | Data Cleaning in SQL | Project 3/4,2021-05-25,267509,5791,659,Alex The Analyst
132,Data Analyst Portfolio Project | Tableau Visualization | Project 2/4,2021-05-18,287673,4917,412,Alex The Analyst
133,Asking My Family What I Do For a Living,2021-05-11,3666,195,56,Alex The Analyst
134,Data Analyst Portfolio Project | SQL Data Exploration | Project 1/4,2021-05-04,1344979,26270,3045,Alex The Analyst
135,Advanced SQL Tutorial | Subqueries,2021-04-20,223023,5438,170,Alex The Analyst
136,Data Analyst Q/A #6 | Why Am I Not a Data Scientist?,2021-04-15,21782,817,149,Alex The Analyst
137,Google vs IBM Data Analytics Certificates | Which is Better?,2021-04-13,286987,10595,570,Alex The Analyst
138,Data Analyst Reacts: How to Go From Data Analyst to Data Scientist,2021-04-06,23102,852,84,Alex The Analyst
139,Laptops for Data Analysts |  Specifications + Recommendations,2021-03-30,149513,3514,294,Alex The Analyst
140,Best Machine Learning Courses on Coursera,2021-03-23,42267,1424,79,Alex The Analyst
141,Will Data Analysts Be Automated? | Alex The Analyst | Episode 18,2021-03-18,16011,473,122,Alex The Analyst
142,Advanced SQL Tutorial | Stored Procedures + Use Cases,2021-03-16,231478,4689,135,Alex The Analyst
143,Google Data Analytics Professional Certificate | It's Finally Here!,2021-03-12,345166,10882,1166,Alex The Analyst
144,Google Data Analytics Certificate | Coming Out Soon!,2021-03-04,51582,2389,328,Alex The Analyst
145,Reviewing Your Data Analyst Resumes | Part 2,2021-03-02,19995,514,77,Alex The Analyst
146,Best Course to Learn Statistics for Data Analysis,2021-02-25,71099,2124,85,Alex The Analyst
147,DataQuest Review | Is it Worth it?,2021-02-23,19999,382,42,Alex The Analyst
148,R vs Python | Which is Better for Data Analysis?,2021-02-16,191850,4456,364,Alex The Analyst
149,Advanced SQL Tutorial | String Functions + Use Cases,2021-02-04,98446,2719,113,Alex The Analyst
150,Advanced SQL Tutorial | Temp Tables,2021-02-02,149970,3639,104,Alex The Analyst
151,IBM Data Analyst Certificate Study Session,2021-01-30,5098,173,22,Alex The Analyst
152,IBM Data Analyst Professional Certificate by Coursera | Is it Worth it?,2021-01-26,96807,2665,286,Alex The Analyst
153,DataCamp Review | Is it Worth it?,2021-01-21,135188,3062,246,Alex The Analyst
154,Best Python Course for Data Analysts,2021-01-19,43197,1258,109,Alex The Analyst
155,Top 5 Data Analyst Skills,2021-01-12,22386,1117,167,Alex The Analyst
156,Best Industries for Data Analysts in 2021 | Alex The Analyst Show | Episode 17,2021-01-07,14062,468,145,Alex The Analyst
157,Top 5 Data Analyst Interview Mistakes,2021-01-05,44371,1283,61,Alex The Analyst
158,2020 Year End Review + Upcoming Giveaway Details,2020-12-31,1541,140,101,Alex The Analyst
159,Data Analyst Resume | Everything You Need to Know | Alex The Analyst Show | Episode 16,2020-12-24,39516,1156,139,Alex The Analyst
160,Solving Medium Level SQL LeetCode Questions | Part 2/3,2020-12-22,9773,220,32,Alex The Analyst
161,Entry vs Mid vs Senior Level Data Analyst | Alex The Analyst Show | Episode 15,2020-12-17,43305,1465,206,Alex The Analyst
162,Data Engineer vs Data Analyst | Which Is Right For You?,2020-12-15,67702,2360,134,Alex The Analyst
163,How to Find Out Your Coworkers Salary | Alex The Analyst Show | Episode 14,2020-12-10,2512,92,54,Alex The Analyst
164,Advanced SQL Tutorial | CTE (Common Table Expression),2020-12-08,203577,3502,150,Alex The Analyst
165,"Data Analyst Salary (Expectations, Bonuses, 401K, ESPP) | Alex The Analyst Show | Episode 13",2020-12-03,22340,731,193,Alex The Analyst
166,Intermediate SQL Tutorial | Partition By,2020-12-01,153789,4131,164,Alex The Analyst
167,Data Analyst Q/A LIVE #5 | AMA,2020-11-28,4755,129,18,Alex The Analyst
168,Completely REALISTIC Jobs on LinkedIn | Alex The Analyst Show | Episode 12,2020-11-25,23505,857,161,Alex The Analyst
169,Completely Unrealistic Jobs on LinkedIn | Alex The Analyst Show | Episode 11,2020-11-19,14019,560,205,Alex The Analyst
170,Top 3 Tips on Using LinkedIn to Land a Job,2020-11-17,188377,7751,195,Alex The Analyst
171,What is No Code Analytics? | Alex The Analyst Show | Episode 10,2020-11-12,3672,118,80,Alex The Analyst
172,Solving LeetCode SQL Interview Questions | Part 1/3,2020-11-10,22291,602,64,Alex The Analyst
173,What is Analytics Consulting? With John Ariansen | Alex The Analyst Show | Episode 9,2020-11-05,11597,343,114,Alex The Analyst
174,Data Analyst Skills Path | What Skills You NEED to Know,2020-11-03,73215,3533,278,Alex The Analyst
175,Data Analyst Q&A LIVE #4,2020-10-30,3397,104,25,Alex The Analyst
176,Asking My Wife Your Questions About Me | Alex The Analyst Show | Episode 8,2020-10-27,13176,550,223,Alex The Analyst
177,Top 10 Udemy Courses for Data Analysts,2020-10-22,131998,4173,276,Alex The Analyst
178,Data Analyst Certifications | Are They Worth It? | Alex The Analyst Show | Episode 7,2020-10-20,173766,6134,988,Alex The Analyst
179,Working at a Startup vs Fortune 500 Company | Alex The Analyst Show | Episode 6,2020-10-15,4450,171,72,Alex The Analyst
180,Top 10 Coursera Courses for Data Analysts,2020-10-13,98733,4483,277,Alex The Analyst
181,Imposter Syndrome in Tech | Alex The Analyst Show | Episode 5,2020-10-08,6956,351,177,Alex The Analyst
182,Data Analyst Expectations vs Reality,2020-10-06,74875,2798,187,Alex The Analyst
183,Covid and the Data Analyst Job Market | Alex The Analyst Show | Episode 4,2020-10-01,7050,254,164,Alex The Analyst
184,Self Taught vs Boot Camp vs Degree | Alex The Analyst Show | Episode 3,2020-09-24,43847,1467,713,Alex The Analyst
185,Top 5 Reasons You'll Be a Good Data Analyst,2020-09-22,14276,600,82,Alex The Analyst
186,How I Changed Careers to Become a Data Analyst | Alex The Analyst Show | Episode 2,2020-09-10,410860,12090,3810,Alex The Analyst
187,Top 5 Reasons Data Analytics is a Good Career Choice,2020-09-08,43380,1313,74,Alex The Analyst
188,The Hiring Process from an Interviewer's Perspective | Alex The Analyst Show | Episode 1,2020-09-03,18837,649,83,Alex The Analyst
189,Top 5 Reasons Not to Lie on Your Resume,2020-09-01,11007,197,116,Alex The Analyst
190,Live Data Analyst Q&A #3,2020-08-29,2744,100,43,Alex The Analyst
191,Data Analyst Career Path | How to Become a Data Analyst + What to Do Next,2020-08-20,127666,4632,273,Alex The Analyst
192,Top 5 Reasons Not to Become a Data Analyst,2020-08-12,903023,19494,1051,Alex The Analyst
193,Data Analyst Bootcamps | Are They Worth It?,2020-08-05,30824,542,90,Alex The Analyst
194,What Does a Data Analyst Actually Do?,2020-07-29,796525,16126,445,Alex The Analyst
195,Data Analyst Question and Answer | Answering Your YouTube Questions,2020-07-22,4029,163,67,Alex The Analyst
196,Scraping Data Off Twitter Using Python | Twitterscraper + NLP + Data Visualization,2020-07-15,51502,1341,158,Alex The Analyst
197,Data Analyst vs Business Analyst | Which Is Right For You?,2020-07-03,715295,18517,566,Alex The Analyst
198,Best Free Online Courses for Data Analysts,2020-06-23,55500,2725,94,Alex The Analyst
199,Best Online Courses for Data Analysts,2020-06-17,174874,9163,414,Alex The Analyst
200,Data Scientist vs Data Analyst | Which Is Right For You?,2020-06-10,732378,23099,839,Alex The Analyst
201,Intermediate SQL Tutorial | Aliasing,2020-06-04,78742,2458,69,Alex The Analyst
202,Data Analyst Q&A LIVE,2020-05-31,8909,241,54,Alex The Analyst
203,Data Analyst Interviews | Salary Negotiation,2020-05-27,22774,729,27,Alex The Analyst
204,Data Analyst Interview Questions | What To Say vs What NOT To Say,2020-05-20,60448,1481,33,Alex The Analyst
205,SQL Interview Questions and Answers for Beginners | Data Analyst Interview Questions,2020-05-13,101975,2783,98,Alex The Analyst
206,Data Analyst Interview Questions | Phone + In-Person Interview Questions,2020-05-06,70669,1465,64,Alex The Analyst
207,Day in the Life of a Data Analyst | Fortune 500 Edition (During Quarantine),2020-04-23,14841,518,51,Alex The Analyst
208,Intermediate SQL Tutorial | Updating/Deleting Data,2020-04-16,80111,2106,101,Alex The Analyst
209,Intermediate SQL Tutorial | Having Clause,2020-04-09,94479,2858,58,Alex The Analyst
210,Intermediate SQL Tutorial | Case Statement | Use Cases,2020-04-02,174884,4737,306,Alex The Analyst
211,Intermediate SQL Tutorial | Unions | Union Operator,2020-03-26,146298,3209,121,Alex The Analyst
212,Intermediate SQL Tutorial | Inner/Outer Joins | Use Cases,2020-03-19,295152,5561,319,Alex The Analyst
213,Day in the Life of a Data Analyst | Fortune 500 Edition,2020-03-11,123148,2520,268,Alex The Analyst
214,SQL Basics Tutorial For Beginners | Group By + Order By Statements | 4/4,2020-03-03,180317,5242,196,Alex The Analyst
215,SQL Basics Tutorial For Beginners | Where Statement | 3/4,2020-03-02,189050,3800,100,Alex The Analyst
216,SQL Basics Tutorial For Beginners | Select + From Statements | 2/4,2020-03-01,276826,4611,208,Alex The Analyst
217,SQL Basics Tutorial For Beginners | Installing SQL Server Management Studio and Create Tables | 1/4,2020-03-01,836355,12313,1349,Alex The Analyst
218,Data Analyst Fact Check |  84k Average Starting Salary?? | The Career Force 2020 Data Analyst Salary,2020-02-26,25068,842,163,Alex The Analyst
219,Data Analyst Resume | Reviewing YOUR Data Analyst Resumes!,2020-02-24,23007,508,39,Alex The Analyst
220,Data Analyst Salary in 2020,2020-02-19,7887,154,25,Alex The Analyst
221,Working With a Recruiter to Land Your First Job as a Data Analyst | LinkedIn Recruiters,2020-02-14,12259,553,39,Alex The Analyst
222,Switching Careers to Become a Data Analyst | How I Made the Switch,2020-02-11,47560,1747,247,Alex The Analyst
223,Data Analyst Resume | Complete Guide To Creating A Data Analyst Resume | Tips + Templates + Examples,2020-02-06,109192,3255,96,Alex The Analyst
224,Data Analyst Resume | Reviewing My Resume! | Fortune 500 Data Analyst,2020-01-30,63338,1538,64,Alex The Analyst
